Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1993-02-23,653.9,651.4,651.4,651.4,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-24,650.16,662.47,650.23,662.46,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-25,662.29,667.07,659.63,667.07,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-26,668.02,670.77,666.8,670.77,6729.459,7.1,3.0,3414.5,3.561853788
1993-03-01,671.84,672.79,669.19,669.51,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-02,669.85,677.73,669.01,677.72,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-03,678.43,683.85,683.85,683.92,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-04,683.29,682.04,677.66,680.73,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-05,680.85,682.92,679.47,681.37,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-08,681.72,687.34,682.44,687.23,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-09,687.77,690.43,687.82,688.96,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-10,689.76,692.87,692.87,692.87,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-11,693.7,695.94,693.71,694.28,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-12,692.88,692.78,687.56,692.78,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-15,693.45,695.21,693.51,695.21,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-16,696.59,697.15,695.47,695.47,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-17,694.94,694.32,686.95,687.4,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-18,688.32,689.86,687.41,687.41,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-19,688.58,688.29,682.72,682.72,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-22,681.62,678.25,674.74,676.62,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-23,677.85,679.59,675.03,675.04,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-24,674.6,676.08,672.1,674.36,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-25,675.69,681.27,675.85,681.01,6729.459,7.0,3.0,3411.7,3.334428143
1993-03-26,682.67,683.5,680.33,681.54,6729.459,7.0,3.0,3411.7,3.334428143
